filename,category_name,label
17578-5-0-3.wav,engine_idling,6
111671-8-0-20.wav,siren,12
203913-8-0-0.wav,siren,12
17578-5-0-12.wav,engine_idling,6
26184-5-4-2.wav,engine_idling,6
156634-5-2-4.wav,engine_idling,6
111671-8-0-16.wav,siren,12
156634-5-0-12.wav,engine_idling,6
145609-6-0-0.wav,gun_shot,9
156869-8-0-4.wav,siren,12
23219-5-0-0.wav,engine_idling,6
23219-5-0-10.wav,engine_idling,6
62566-5-0-1.wav,engine_idling,6
17578-5-0-2.wav,engine_idling,6
111671-8-0-8.wav,siren,12
203913-8-0-7.wav,siren,12
156634-5-0-2.wav,engine_idling,6
156634-5-0-9.wav,engine_idling,6
159701-6-3-0.wav,gun_shot,9
162432-6-7-0.wav,gun_shot,9
89724-5-0-2.wav,engine_idling,6
203913-8-0-10.wav,siren,12
156634-5-2-2.wav,engine_idling,6
89724-5-0-5.wav,engine_idling,6
111671-8-0-15.wav,siren,12
77247-6-0-0.wav,gun_shot,9
91533-5-0-1.wav,engine_idling,6
164782-8-0-4.wav,siren,12
156634-5-2-7.wav,engine_idling,6
7066-6-1-0.wav,gun_shot,9
23219-5-0-3.wav,engine_idling,6
17578-5-0-14.wav,engine_idling,6
17578-5-0-16.wav,engine_idling,6
191449-6-0-0.wav,gun_shot,9
156634-5-0-0.wav,engine_idling,6
111671-8-0-1.wav,siren,12
156634-5-0-10.wav,engine_idling,6
203913-8-0-4.wav,siren,12
162432-6-10-0.wav,gun_shot,9
164782-8-0-2.wav,siren,12
17578-5-0-33.wav,engine_idling,6
162432-6-6-0.wav,gun_shot,9
91533-5-0-2.wav,engine_idling,6
203913-8-0-8.wav,siren,12
164782-8-0-1.wav,siren,12
203913-8-1-2.wav,siren,12
111671-8-0-10.wav,siren,12
156869-8-0-8.wav,siren,12
17578-5-0-0.wav,engine_idling,6
111671-8-0-14.wav,siren,12
89724-5-0-4.wav,engine_idling,6
156869-8-0-9.wav,siren,12
203913-8-1-1.wav,siren,12
159701-6-4-0.wav,gun_shot,9
156634-5-2-8.wav,engine_idling,6
17578-5-0-4.wav,engine_idling,6
17578-5-0-30.wav,engine_idling,6
156634-5-1-0.wav,engine_idling,6
17578-5-0-34.wav,engine_idling,6
162432-6-2-0.wav,gun_shot,9
